id,true_label,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
100,0,0.040137492,0.39536023,0.08699046,0.37309715,0.104414634
103,0,0.0142295,0.050733894,0.07266703,0.45865786,0.4037117
104,0,0.44748354,0.18581992,0.056429245,0.06479181,0.24547543
122,0,0.027229762,0.039370682,0.05208981,0.2588331,0.6224766
150,0,0.09732671,0.15134604,0.16544056,0.17089398,0.4149927
170,0,0.066085085,0.10829834,0.048564002,0.33505133,0.44200128
173,1,0.01460299,0.16062823,0.43224224,0.25786367,0.13466288
209,1,0.07234794,0.53682554,0.20964697,0.11093125,0.070248336
214,1,0.21556515,0.49794266,0.04877034,0.13575792,0.101964004
245,1,0.8202615,0.09020312,0.025336336,0.018255671,0.04594339
262,1,0.062400788,0.08464886,0.120185085,0.23858537,0.49417984
266,1,0.055969823,0.2091835,0.062629975,0.39636984,0.2758468
273,1,0.5019053,0.38080502,0.023570549,0.040216997,0.05350211
283,1,0.023883007,0.087556005,0.052143738,0.53455395,0.3018633
288,1,0.4608646,0.21744211,0.07760932,0.06273209,0.18135186
298,1,0.51885134,0.39654586,0.016280001,0.034135804,0.03418694
304,1,0.021813218,0.07317498,0.28426155,0.18708591,0.4336643
311,1,0.09330568,0.3339459,0.3487287,0.090636626,0.1333831
323,1,0.05149706,0.16182084,0.23806596,0.20313361,0.34548256
333,1,0.0130378045,0.06291673,0.19609924,0.34305874,0.38488752
338,2,0.036697704,0.050734058,0.08263089,0.2081347,0.6218027
351,2,0.008867758,0.054755565,0.6433221,0.121933386,0.17112118
352,2,0.00735781,0.039294444,0.05155476,0.6485555,0.25323746
358,2,0.04041771,0.097840644,0.17790475,0.2593832,0.42445368
366,2,0.013235731,0.050747197,0.49196106,0.13388085,0.31017518
371,2,0.122832865,0.292375,0.41374496,0.054645162,0.11640204
427,2,0.046480924,0.053396035,0.2296837,0.09630831,0.5741311
429,2,0.019103369,0.03879455,0.3319209,0.13558587,0.4745953
433,2,0.029669648,0.039976906,0.10421686,0.1775243,0.6486124
438,2,0.024735417,0.06360734,0.4403883,0.112234876,0.35903406
451,2,0.3613499,0.23254961,0.023343278,0.1375966,0.2451606
462,2,0.075156964,0.48681918,0.15288916,0.14659268,0.13854204
481,2,0.037724916,0.08524259,0.064169094,0.36974376,0.44311967
485,2,0.02289207,0.14039406,0.66618925,0.073894285,0.09663028
489,2,0.03460629,0.15272127,0.66144174,0.07443153,0.076799154
492,2,0.022252426,0.08892065,0.6769147,0.08274798,0.12916423
494,2,0.00844796,0.061657265,0.63822514,0.13340259,0.15826696
506,2,0.034409296,0.065952316,0.38350338,0.09943844,0.41669655
522,2,0.098532155,0.32225537,0.13543662,0.21716534,0.22661056
562,3,0.6461187,0.23101756,0.044896692,0.017525032,0.06044204
566,3,0.48432413,0.12745261,0.028990472,0.090961084,0.26827168
572,3,0.032138426,0.0664077,0.07300061,0.38508746,0.44336587
577,3,0.026196683,0.034619037,0.094328515,0.18140867,0.6634471
579,3,0.015920728,0.067326434,0.059436966,0.435156,0.42215985
585,3,0.028599828,0.108097315,0.31624812,0.21262757,0.3344272
586,3,0.020491047,0.067288175,0.10865378,0.39239502,0.41117197
601,3,0.03207477,0.09065778,0.057130538,0.5683757,0.25176123
611,3,0.1015954,0.15940481,0.046921253,0.37421533,0.31786323
625,3,0.21718341,0.5932554,0.08046157,0.057313897,0.051785763
632,3,0.038494997,0.19721751,0.0798895,0.5476059,0.13679211
633,3,0.03272246,0.040835716,0.057327524,0.24910372,0.62001055
645,3,0.007155143,0.09750768,0.31800315,0.44158033,0.1357536
648,3,0.021219334,0.05529667,0.031985126,0.5062341,0.38526475
649,3,0.01851926,0.039679203,0.27784005,0.13133763,0.5326239
666,3,0.05940601,0.05860704,0.10271758,0.19022202,0.5890474
677,3,0.06306546,0.071302876,0.05140445,0.25902727,0.55519986
693,3,0.1601427,0.11596607,0.07672182,0.20020038,0.446969
741,4,0.048937008,0.06942614,0.04015653,0.46530986,0.37617052
744,4,0.030405605,0.030056166,0.041706327,0.28679013,0.6110418
763,4,0.09318829,0.055058707,0.05050923,0.18696955,0.6142742
794,4,0.021145478,0.038235687,0.21735774,0.16794696,0.5553141
812,4,0.0148384385,0.026235342,0.11256677,0.20070274,0.6456567
825,4,0.012347943,0.043311257,0.17085448,0.30730733,0.46617895
835,4,0.49637568,0.41453934,0.015311082,0.03473231,0.039041646
853,4,0.016011592,0.036639933,0.31789297,0.14172731,0.48772815
858,4,0.033171497,0.041204367,0.15019386,0.105362825,0.6700674
885,4,0.05231942,0.12089551,0.078064196,0.34509212,0.40362883
900,4,0.17750953,0.12938194,0.05492969,0.18081093,0.45736793
902,4,0.036871694,0.05653596,0.045174193,0.35545483,0.50596327
903,4,0.1735596,0.080540925,0.0758793,0.1561593,0.5138609
