Model / Fusion,Type,Accuracy,Macro F1
Audio only (full),unimodal,0.25274725274725274,0.23468642752530222
Lyrics only (full),unimodal,0.3684210526315789,0.34950974230043996
MIDI only (full),unimodal,0.3181818181818182,0.18
Audio+Lyrics (equal),fusion_equal,0.40789473684210525,0.3815326169993689
Audio+Lyrics (F1),fusion_f1,0.42105263157894735,0.3997390289449113
Audio+MIDI (equal),fusion_equal,0.4090909090909091,0.32907268170426063
Audio+MIDI (F1),fusion_f1,0.36363636363636365,0.27907268170426064
Lyrics+MIDI (equal),fusion_equal,0.36363636363636365,0.2608187134502924
Lyrics+MIDI (F1),fusion_f1,0.3181818181818182,0.23555555555555557
Audio+Lyrics+MIDI (equal),fusion_equal,0.4090909090909091,0.34081871345029235
Audio+Lyrics+MIDI (F1),fusion_f1,0.36363636363636365,0.2608187134502924
