id,true_label,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
15,0,0.19315115,0.17768131,0.07117286,0.37479776,0.18319692
21,0,0.3736778,0.20562045,0.027838897,0.1432112,0.2496517
51,0,0.32461292,0.28484598,0.06144187,0.124685146,0.2044141
55,0,0.24938984,0.3218601,0.06080852,0.23500416,0.13293739
58,0,0.26812264,0.20469671,0.040773638,0.28533915,0.20106788
59,0,0.19830714,0.18754965,0.1497259,0.24028762,0.22412965
100,0,0.31959587,0.27514037,0.03950939,0.18597893,0.17977536
103,0,0.08998909,0.13912304,0.3307431,0.33633208,0.10381267
104,0,0.20393309,0.36825815,0.10342785,0.21604636,0.108334586
122,0,0.11690766,0.15119532,0.29046324,0.23285928,0.2085745
150,0,0.21211578,0.35410842,0.16525881,0.1458794,0.1226376
170,0,0.2567366,0.39447418,0.04706946,0.19102795,0.11069176
173,1,0.13393378,0.27032214,0.27215204,0.23700607,0.08658599
209,1,0.22900045,0.42748317,0.1026175,0.12591714,0.11498177
214,1,0.26189783,0.34540734,0.043850247,0.21319687,0.13564764
245,1,0.22713989,0.34449163,0.12522423,0.15066658,0.15247774
262,1,0.08065955,0.12389356,0.465588,0.2341686,0.095690295
266,1,0.29873416,0.3432939,0.032928456,0.17509356,0.14994992
273,1,0.3090511,0.31719247,0.05152459,0.18134598,0.14088589
283,1,0.13847673,0.17040178,0.16269383,0.33487532,0.19355237
288,1,0.27942467,0.17341623,0.058718614,0.13996692,0.34847364
298,1,0.30668402,0.21812607,0.031521965,0.22611775,0.21755017
304,1,0.12426325,0.23006536,0.33644798,0.21102141,0.09820202
311,1,0.2005928,0.4299952,0.11420684,0.12689626,0.12830888
323,1,0.17526668,0.32974178,0.19063297,0.20804876,0.096309826
333,1,0.23570341,0.25463924,0.08546047,0.20320594,0.22099096
338,2,0.18509686,0.31499586,0.119485326,0.27117327,0.10924873
351,2,0.056003924,0.06555804,0.67313164,0.09949184,0.105814554
352,2,0.07704934,0.10483943,0.4328572,0.24763705,0.13761704
358,2,0.15661208,0.18050809,0.22759461,0.17248008,0.26280516
366,2,0.051956926,0.065858394,0.69819874,0.09007209,0.093913846
371,2,0.17187166,0.35572955,0.22385664,0.14507435,0.10346774
427,2,0.13227572,0.186257,0.31600198,0.23710743,0.1283579
429,2,0.048788443,0.074537806,0.71685,0.090727516,0.06909618
433,2,0.20227706,0.43391168,0.085021205,0.17182451,0.10696548
438,2,0.16121253,0.34752414,0.23211338,0.14670378,0.112446144
451,2,0.42672917,0.1574837,0.021583658,0.09378673,0.30041668
462,2,0.11793263,0.13550852,0.2564678,0.30087212,0.18921894
481,2,0.14284351,0.2316565,0.14071177,0.3698752,0.11491303
485,2,0.05715097,0.08564229,0.670699,0.1109428,0.07556498
489,2,0.058603913,0.08784751,0.6833563,0.10702243,0.063169874
492,2,0.037914906,0.055162385,0.77931,0.07222113,0.055391636
494,2,0.06934222,0.09760478,0.542724,0.16509558,0.12523343
506,2,0.17510393,0.32733384,0.15607437,0.20801899,0.13346879
522,2,0.13135198,0.1943218,0.26085407,0.2482225,0.16524966
562,3,0.16841094,0.2975089,0.26112303,0.16404375,0.10891338
566,3,0.3348689,0.16863477,0.024299128,0.19290212,0.27929518
572,3,0.22343712,0.2514161,0.05328245,0.30669317,0.1651712
577,3,0.17092957,0.21078452,0.112105936,0.3103213,0.19585872
579,3,0.273747,0.19817781,0.04262439,0.25518635,0.23026444
585,3,0.17734864,0.40065798,0.13762954,0.18172412,0.10263972
586,3,0.17220487,0.29501596,0.13956995,0.2933837,0.099825576
601,3,0.09518187,0.11296049,0.3234409,0.29338887,0.17502786
611,3,0.3038271,0.35207212,0.03576531,0.14249128,0.16584416
625,3,0.2235927,0.33102307,0.14465854,0.16246472,0.13826105
632,3,0.2012421,0.36051732,0.09203281,0.22707617,0.11913151
633,3,0.1326285,0.21253031,0.30530557,0.18374,0.16579562
645,3,0.081208006,0.123662256,0.46379182,0.24401811,0.08731983
648,3,0.2002369,0.119697474,0.06566666,0.3169897,0.29740927
649,3,0.12576848,0.168205,0.20112471,0.2735417,0.23136012
666,3,0.10275544,0.16144061,0.43111613,0.18569168,0.118996084
677,3,0.32831642,0.28437737,0.032610826,0.18368389,0.17101148
693,3,0.14524089,0.22594747,0.2551901,0.24055402,0.13306752
741,4,0.3200708,0.25559014,0.032876864,0.14712563,0.24433656
744,4,0.26553893,0.09855786,0.037358176,0.19378941,0.4047557
763,4,0.40022162,0.21028985,0.021857182,0.12144641,0.2461849
794,4,0.090239115,0.13787413,0.49228412,0.1642802,0.115322344
812,4,0.13904743,0.13617039,0.18731284,0.23587117,0.30159813
825,4,0.051307715,0.071213394,0.6018561,0.14824323,0.12737952
835,4,0.3678098,0.16552828,0.025526153,0.13653696,0.3045988
853,4,0.07992187,0.110398516,0.41512877,0.23042858,0.16412234
858,4,0.07184817,0.09445805,0.56239,0.14943334,0.12187038
885,4,0.087911084,0.08363024,0.3315146,0.21082118,0.2861229
900,4,0.13252062,0.15295571,0.23228958,0.18666646,0.29556766
902,4,0.22475919,0.17524928,0.075384565,0.31997782,0.20462911
903,4,0.3447125,0.24940233,0.028582804,0.15539734,0.22190504
